Carrera,Asignatura,titulo,autor
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,algebra lineal,"grossman, stanley i"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,precálculo,"stewart, james"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,cálculo de una variable,"stewart, james"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,estructuras de datos y algoritmos,"aho, alfred v"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,grokking algorithms,"bhargava, aditya y"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,hands-on blockchain for python developers,"kok, arjuna sky"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,tratado de derecho administrativo 5,agustín a. gordillo
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Probabilidad y Estadística ,introducción a la probabilidad y estadística,"mendenhall, william"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,la investigación cualitativa y el análisis computarizado de datos,"echevarría, hugo darío"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,elementos de muestreo,"scheaffer, richard l"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,tratamiento matemático de datos físico-químicos,"spiridinov, v.p"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,computadoras y procesamiento de datos,"villanueva-lara, julio e"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,introducción a la programación y a las estructuras de datos,"braunstein, silvia l"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,introducción a la estadística,sheldom m. ross
